招生信息,,,,,,,,,2024年,,,2023年,,,2022年,,,2021年,,,2020年,,
批次,院校代码,院校名称,专业代码,专业名称,计划人数,学费,学制,选科要求,专业名称2024,投档计划数2024,最低位次2024,专业名称2023,投档计划数2023,最低位次2023,专业名称2022,投档计划数2022,最低位次2022,投档计划数2021,最低位次2021,专业名称2021,投档计划数2020,最低位次2020,专业名称2020
本科提前批,A424,山东科技大学,U4,智能采矿工程(综合评价招生),15,6325,4,物理和化学,,,,环境工程,70,98757,,,,32,93197,矿物加工工程,,,
本科提前批,A424,山东科技大学,U7,交通运输(综合评价招生),20,6600,4,物理和化学,,,,,,,,,,6,45315,会计学,,,
本科提前批,A424,山东科技大学,UE,职业卫生工程(综合评价招生),10,6325,4,物理和化学,,,,国际商务(就读地点泰安),108,141036,,,,,,,,,
本科提前批,A425,中国石油大学(华东),53,地球物理学(仅面向我校综合评价招生测试合格考生),3,6600,4,物理和化学,,,,地球物理学,6,23946,地球物理学,6,24154,,,,16,17746,法学
本科提前批,A425,中国石油大学(华东),56,地质学(仅面向我校综合评价招生测试合格考生),3,6600,4,物理和化学,,,,地质学,7,27525,地质学,7,27083,,,,,,
本科提前批,A425,中国石油大学(华东),58,勘查技术与工程(仅面向我校综合评价招生测试合格考生),5,6600,4,物理和化学,,,,,,,勘查技术与工程(测井),5,25096,,,,,,
本科提前批,A425,中国石油大学(华东),5B,资源勘查工程(仅面向我校综合评价招生测试合格考生),5,6600,4,物理和化学,,,,,,,勘查技术与工程(物探),5,28310,9,28551,资源勘查工程,,,
本科提前批,A425,中国石油大学(华东),5E,海洋油气工程(仅面向我校综合评价招生测试合格考生),3,6600,4,物理和化学,,,,,,,资源勘查工程,9,29023,7,24092,船舶与海洋工程,,,
本科提前批,A425,中国石油大学(华东),5H,石油工程(仅面向我校综合评价招生测试合格考生),10,6600,4,物理和化学,,,,,,,,,,11,26421,海洋油气工程,,,
本科提前批,A425,中国石油大学(华东),5L,化工与制药类(化工安全工程、化学工程与工艺、能源化学工程)(仅面向我校综合评价招生测试合格考生),9,6600,4,物理和化学,,,,,,,,,,50,28128,石油工程,,,
本科提前批,A425,中国石油大学(华东),5P,环境工程(仅面向我校综合评价招生测试合格考生),3,6600,4,物理和化学,,,,,,,,,,3,26378,化工安全工程,,,
本科提前批,A425,中国石油大学(华东),5U,机械类(智能装备工程)(机械设计制造及其自动化、车辆工程、智能制造工程)(仅面向我校综合评价招生测试合格考生),10,6600,4,物理和化学,,,,,,,环境工程,4,23444,,,,,,
本科提前批,A425,中国石油大学(华东),5X,土木类(绿色能源建设工程)(建筑环境与能源应用工程、土木工程)(仅面向我校综合评价招生测试合格考生),3,6600,4,物理和化学,,,,,,,土木工程,21,28208,2,25559,建筑环境与能源应用工程,,,
本科提前批,A425,中国石油大学(华东),60,油气储运工程(仅面向我校综合评价招生测试合格考生),6,6600,4,物理和化学,,,,,,,油气储运工程,32,28032,24,27095,土木工程,,,
本科提前批,A425,中国石油大学(华东),63,材料类(材料成型及控制工程、材料科学与工程、材料物理、材料化学、新能源材料与器件)(仅面向我校综合评价招生测试合格考生),10,6600,4,物理和化学,,,,,,,材料类,80,29760,,,,,,
本科提前批,A425,中国石油大学(华东),66,过程装备与控制工程(仅面向我校综合评价招生测试合格考生),5,6600,4,物理和化学,,,,,,,过程装备与控制工程,10,24475,,,,,,
本科提前批,A425,中国石油大学(华东),69,环保设备工程(仅面向我校综合评价招生测试合格考生),3,6600,4,物理和化学,,,,,,,环保设备工程,6,26303,6,26571,环保设备工程,,,
本科提前批,A425,中国石油大学(华东),6B,测绘工程(仅面向我校综合评价招生测试合格考生),3,6600,4,物理和化学,,,,,,,测绘工程,6,25012,,,,,,
本科提前批,A425,中国石油大学(华东),6E,地理信息科学(仅面向我校综合评价招生测试合格考生),3,6600,4,物理和化学,,,,,,,地理信息科学,8,20986,,,,,,
本科提前批,A425,中国石油大学(华东),6H,测控技术与仪器(仅面向我校综合评价招生测试合格考生),3,6600,4,物理和化学,,,,,,,测控技术与仪器,5,23293,,,,,,
本科提前批,A425,中国石油大学(华东),6K,计算机科学与技术(仅面向我校综合评价招生测试合格考生),3,6600,4,物理和化学,,,,测控技术与仪器,6,20171,,,,,,,,,
本科提前批,A426,青岛科技大学,22,工商管理(综合评价招生),5,6600,4,不限,,,,,,,,,,,,,30,79510,工业工程
本科提前批,A426,青岛科技大学,HB,数学与应用数学(综合评价招生),10,5500,4,物理和化学,,,,高分子材料与工程(中外合作办学)(中韩合作办学),90,215572,,,,70,110093,物联网工程(校企合作，与青软创新科技集团合作),70,121348,物联网工程(校企合作，与青岛青软实训教育科技股份有限公司合作)
本科提前批,Y006,山东师范大学,14,新闻学(省属地方综合评价招生),20,5280,4,不限,,,,,,,思想政治教育(师范类，非西藏生源定向西藏就业),2,85497,,,,,,
本科提前批,A561,华南理工大学,65,软物质科学与工程(综合评价招生)(不招收色盲色弱考生),14,95000,4,物理和化学,,,,临床医学,2,5497,,,,,,,,,
本科提前批,A561,华南理工大学,66,微电子科学与工程(综合评价招生),13,95000,4,物理和化学,,,,,,,临床医学,2,5456,,,,,,
