烟台理工学院,人工智能,['人工智能'],48
烟台理工学院,机器人工程,"['机器人', '工程']",42
烟台理工学院,数据科学与大数据技术,"['数据', '科学', '与', '大', '数据', '技术']",66
烟台理工学院,药学,['药学'],47
烟台理工学院,生物工程,['生物工程'],47
烟台理工学院,食品科学与工程,"['食品科学', '与', '工程']",41
烟台理工学院,食品质量与安全,"['食品质量', '与', '安全']",37
烟台理工学院,机械设计制造及其自动化(中外合作办学),"['机械设计', '制造', '及其', '自动化', '(', '中外合作', '办学', ')']",30
青岛城市学院,土木工程,['土木工程'],42
青岛城市学院,智能建造,"['智能', '建造']",48
青岛城市学院,机械设计制造及其自动化,"['机械设计', '制造', '及其', '自动化']",46
青岛城市学院,电气工程及其自动化,"['电气工程', '及其', '自动化']",49
青岛城市学院,机器人工程,"['机器人', '工程']",51
青岛城市学院,计算机科学与技术,"['计算机科学', '与', '技术']",33
青岛城市学院,软件工程,['软件工程'],68
青岛城市学院,网络工程,['网络工程'],28
青岛城市学院,物联网工程,"['物', '联网', '工程']",68
青岛城市学院,数据科学与大数据技术,"['数据', '科学', '与', '大', '数据', '技术']",52
江西服装学院,软件工程,['软件工程'],5
南昌工学院,软件工程,['软件工程'],1
南昌工学院,数字媒体技术,"['数字', '媒体', '技术']",1
南昌工学院,数据科学与大数据技术,"['数据', '科学', '与', '大', '数据', '技术']",1
南昌交通学院,通信工程,['通信工程'],3
南昌交通学院,给排水科学与工程,"['给排水', '科学', '与', '工程']",1
南昌交通学院,软件工程,['软件工程'],1
南昌交通学院,智能科学与技术,"['智能科学', '与', '技术']",3
南昌交通学院,机械设计制造及其自动化,"['机械设计', '制造', '及其', '自动化']",1
阳光学院,计算机科学与技术,"['计算机科学', '与', '技术']",2
阳光学院,电子信息工程,"['电子', '信息工程']",4
阳光学院,人工智能,['人工智能'],3
兰州工商学院,土木工程,['土木工程'],2
兰州工商学院,网络工程,['网络工程'],1
兰州博文科技学院,智慧交通,"['智慧', '交通']",2
兰州博文科技学院,车辆工程,"['车辆', '工程']",2
兰州博文科技学院,机械设计制造及其自动化,"['机械设计', '制造', '及其', '自动化']",3
兰州博文科技学院,交通运输,['交通运输'],1
兰州博文科技学院,数字媒体技术,"['数字', '媒体', '技术']",1
兰州博文科技学院,土木工程,['土木工程'],2
兰州博文科技学院,机器人工程,"['机器人', '工程']",1
新疆理工学院,过程装备与控制工程,"['过程', '装备', '与', '控制工程']",1
西安交通工程学院,交通运输,['交通运输'],2
大连艺术学院,园艺,['园艺'],27
长春光华学院,机械工程,['机械工程'],6
长春光华学院,机械设计制造及其自动化,"['机械设计', '制造', '及其', '自动化']",2
长春光华学院,机械电子工程,"['机械', '电子', '工程']",7
长春光华学院,智能制造工程,"['智能', '制造', '工程']",3
长春光华学院,电气工程及其自动化,"['电气工程', '及其', '自动化']",4
长春光华学院,计算机科学与技术,"['计算机科学', '与', '技术']",6
长春光华学院,物联网工程,"['物', '联网', '工程']",3
长春光华学院,数字媒体技术,"['数字', '媒体', '技术']",8
长春工业大学人文信息学院,车辆工程,"['车辆', '工程']",1
长春工业大学人文信息学院,机器人工程,"['机器人', '工程']",1
长春电子科技学院,机械电子工程,"['机械', '电子', '工程']",5
长春建筑学院,电子信息工程,"['电子', '信息工程']",3
长春建筑学院,通信工程,['通信工程'],1
长春建筑学院,自动化,['自动化'],4
长春建筑学院,土木工程,['土木工程'],1
长春建筑学院,建筑环境与能源应用工程,"['建筑', '环境', '与', '能源', '应用', '工程']",1
长春建筑学院,城市地下空间工程,"['城市', '地下', '空间', '工程']",2
长春建筑学院,道路桥梁与渡河工程,"['道路', '桥梁', '与', '渡河', '工程']",2
长春建筑学院,交通工程,"['交通', '工程']",5
长春建筑学院,智慧交通,"['智慧', '交通']",3
吉林动画学院,新媒体技术,"['新', '媒体', '技术']",8
吉林动画学院,软件工程,['软件工程'],5
吉林动画学院,数字媒体技术,"['数字', '媒体', '技术']",7
吉林动画学院,虚拟现实技术,"['虚拟现实', '技术']",3
吉林动画学院,飞行器制造工程,"['飞行器', '制造', '工程']",3
吉林动画学院,飞行器动力工程,"['飞行器', '动力工程']",3
吉林动画学院,飞行器控制与信息工程,"['飞行器', '控制', '与', '信息工程']",4
安徽信息工程学院,软件工程,['软件工程'],3
安徽信息工程学院,电气工程及其自动化,"['电气工程', '及其', '自动化']",1
安徽信息工程学院,机械设计制造及其自动化,"['机械设计', '制造', '及其', '自动化']",4
安徽信息工程学院,智能制造工程,"['智能', '制造', '工程']",2
马鞍山学院,计算机科学与技术,"['计算机科学', '与', '技术']",2
泰山科技学院,数据科学与大数据技术,"['数据', '科学', '与', '大', '数据', '技术']",4
泰山科技学院,虚拟现实技术,"['虚拟现实', '技术']",5
泰山科技学院,智能车辆工程,"['智能', '车辆', '工程']",8
泰山科技学院,土木工程,['土木工程'],6
泰山科技学院,智能建造,"['智能', '建造']",12
泰山科技学院,通信工程,['通信工程'],9
泰山科技学院,物联网工程,"['物', '联网', '工程']",6
泰山科技学院,电信工程及管理,"['电信', '工程', '及', '管理']",24
泰山科技学院,人工智能,['人工智能'],4
桂林学院,数据科学与大数据技术,"['数据', '科学', '与', '大', '数据', '技术']",2
桂林学院,电子信息工程,"['电子', '信息工程']",1
桂林学院,物联网工程,"['物', '联网', '工程']",2
桂林学院,医学信息工程,"['医学', '信息工程']",1
贵阳信息科技学院,电子信息工程,"['电子', '信息工程']",2
西安建筑科技大学华清学院,给排水科学与工程,"['给排水', '科学', '与', '工程']",1
西安工商学院,数字媒体技术,"['数字', '媒体', '技术']",1
黑河学院,计算机科学与技术,"['计算机科学', '与', '技术']",1
泉州信息工程学院,机器人工程,"['机器人', '工程']",1
泉州信息工程学院,软件工程(中外合作办学),"['软件工程', '(', '中外合作', '办学', ')']",2
福州理工学院,物联网工程,"['物', '联网', '工程']",2
福州理工学院,土木工程,['土木工程'],3
广西外国语学院,英语,['英语'],1
广西外国语学院,人工智能,['人工智能'],1
广西外国语学院,计算机科学与技术,"['计算机科学', '与', '技术']",1
南京理工大学泰州科技学院,环境工程,['环境工程'],1
山东华宇工学院,材料成型及控制工程,"['材料', '成型', '及', '控制工程']",13
山东华宇工学院,机械电子工程,"['机械', '电子', '工程']",18
山东华宇工学院,车辆工程,"['车辆', '工程']",23
山东华宇工学院,汽车服务工程,"['汽车', '服务', '工程']",27
山东华宇工学院,智能制造工程,"['智能', '制造', '工程']",49
山东华宇工学院,新能源汽车工程,"['新能源', '汽车', '工程']",42
山东华宇工学院,测控技术与仪器,"['测控', '技术', '与', '仪器']",41
山东华宇工学院,能源与动力工程,"['能源', '与', '动力工程']",58
山东华宇工学院,新能源科学与工程,"['新', '能源科学', '与', '工程']",43
